2018-07-21T00-16-17: LogOut_File: : logfile started
2018-07-21T00-16-17: Net Status: low-level initialize success.
2018-07-21T00-16-17: Note: this version (1/29/2017) has new data fields added
2018-07-21T00-16-17: time = time since start of game in ms.
2018-07-21T00-16-17: address = address of IP address
2018-07-21T00-16-17: incoming = total size of messages set to me in bytes. Spikes can indicate lag.
2018-07-21T00-16-17: outgoing = total size of messages set from me in bytes. Spikes can indicate lag.
2018-07-21T00-16-17: app_ctos = client to server bytes delta excluding overheads (app data only)
2018-07-21T00-16-17: app_stoc = server to client bytes delta excluding overheads (app data only)
2018-07-21T00-16-17: loss = number of packets lost. Can indicate lags.  Some node on the network is dropping packets or taking to long and we have to resend them.
2018-07-21T00-16-17: sent = number of packets sent. Spikes can indicate lag.
2018-07-21T00-16-17: ping = how long it takes for a packet to get back and forth. Spikes can indicate lag.
2018-07-21T00-16-17: variance = how much the ping is changing from avg ping. Spikes can indicate lag.
2018-07-21T00-16-17: reliable delayed = This occurs when we drop reliable packets from sending this frame because we are sending to much data. Unreliable are more likely to be dropped than reliable.
2018-07-21T00-16-17: unreliable delayed = This occurs when we drop unreliable packets from sending this frame because we are sending to much data.
2018-07-21T00-16-17: app update delayed = This occurs when the app is taking to long to run code caused by network packets (ie CPU) and packets are delayed until the next frame
2018-07-21T00-16-17: Time spent in critical section (frame) = This is the time the network thread is blocking the main thread from doing anything.
2018-07-21T00-16-17: Latency in Window = The average Latency in ms. of Reliable packets during this time slice
2018-07-21T00-16-17: Packet Loss percentage in Window = The packet loss percentage of Reliable packets during this time slice
2018-07-21T00-16-17: Jitter in Window = The average Jitter in ms. of Reliable packets during this time slice
2018-07-21T00-16-17: Overall Latency Min = The lowest Latency seen in ms. of Reliable packets up to this point in time
2018-07-21T00-16-17: Overall Latency Max = The largest Latency seen in ms. of Reliable packets up to this point in time
2018-07-21T00-16-17: Latency Min in Window = The lowest Latency seen in ms. of Reliable packets during this time slice
2018-07-21T00-16-17: Latency Max in Window = The largest Latency seen in ms. of Reliable packets during this time slice
2018-07-21T00-16-17: Latency packet samples = number of packets used in determining average latency from start of game
2018-07-21T00-16-17: Jitter packet samples = number of packets used in determining average jitter from start of game
2018-07-21T00-16-17: reconnect = flag to indicate one or more reconnects occurred
2018-07-21T00-16-17: [time], [address], [incoming], [outgoing], [app_ctos], [app_stoc], [loss], [sent], [ping], [variance], [reliable delayed], [unreliable delayed], [app update delayed], [Time spent in critical section (frame)], [Latency in Window], [Packet Loss percentage in Window], [Jitter in Window], [Overall Latency Min], [Overall Latency Max], [Latency Min in Window], [Latency Maxin Window], [Latency packet Samples], [Jitter Packet Samples],[reconnect]
40178,X.X.X.X,7786,3649,3649,7786,0,20,11,0,0,0,0,0,11,0.000000,0,11,11,11,11,18,18,1
50178,X.X.X.X,25012,16625,12976,17226,0,96,16,0,0,0,0,0,16,0.000000,0,16,16,16,16,94,94,0
60178,X.X.X.X,32010,21475,4850,6998,0,126,16,0,0,0,0,0,16,0.000000,0,16,16,16,16,124,124,0
70178,X.X.X.X,38857,26487,5012,6847,0,159,16,0,0,0,0,0,16,0.000000,0,16,16,16,16,157,157,0
84454,X.X.X.X,43237,29793,3306,4380,0,180,16,0,0,0,0,0,16,0.000000,0,16,16,16,16,177,177,0
94454,X.X.X.X,49735,34005,4212,6498,0,210,16,0,0,0,0,0,16,0.000000,0,16,16,16,16,208,208,0
104454,X.X.X.X,56659,38525,4520,6924,0,240,16,0,0,0,0,0,16,0.000000,0,16,16,16,16,238,238,0
117276,X.X.X.X,60225,41111,2586,3566,0,256,16,0,0,0,0,0,16,0.000000,0,16,16,16,16,253,253,0
127276,X.X.X.X,69166,46084,4973,8941,0,287,16,0,0,0,0,0,16,0.000000,1,16,16,16,16,285,285,0
137276,X.X.X.X,76249,50736,4652,7083,0,317,16,0,0,0,0,0,16,0.000000,1,16,16,16,16,315,315,0
147276,X.X.X.X,83392,55476,4740,7143,0,347,16,0,0,0,0,0,16,0.000000,1,16,16,16,16,345,345,0
157277,X.X.X.X,90138,59644,4168,6746,0,377,16,0,0,0,0,0,16,0.000000,0,16,16,16,16,375,375,0
177258,X.X.X.X,185540,71689,12045,95402,0,409,17,0,0,0,0,0,17,0.000000,2,17,17,17,17,407,407,0
187277,X.X.X.X,198742,76772,5083,13202,0,448,17,0,0,0,0,0,17,0.000000,1,17,17,17,17,446,446,0
203885,X.X.X.X,238103,84105,7333,39361,0,458,17,0,0,0,0,0,17,0.000000,1,17,17,17,17,456,456,0
213900,X.X.X.X,251420,91060,6955,13317,0,489,17,0,0,0,0,0,17,0.000000,1,17,17,17,17,487,487,0
223902,X.X.X.X,262575,97538,6478,11155,0,595,17,0,0,0,0,0,17,0.000000,1,17,17,17,17,593,593,0
233914,X.X.X.X,287751,105498,7960,25176,0,711,16,0,0,0,0,0,16,0.000000,1,16,16,16,16,709,709,0
244886,X.X.X.X,310964,112646,7148,23213,0,771,17,0,0,0,0,0,17,0.000000,1,17,17,17,17,769,769,0
254891,X.X.X.X,327772,121797,9151,16808,0,911,17,0,0,0,0,0,17,0.000000,2,17,17,17,17,909,909,0
264896,X.X.X.X,356095,134968,13171,28323,0,1118,16,0,0,0,0,0,16,0.000000,0,16,16,16,16,1116,1116,0
